_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
62f680944d8250424f228acc,,67.19,93.75,75.0,81.37,"43,2,0,0",words,10,-1,0,7.68,0,0.0,False,False,english,none,normal,False,False,False,,1660321940000
62f6808a4d8250424f228a8b,,68.5,93.1,68.5,53.93,"52,0,0,0",words,10,-1,0,9.11,0,0.0,False,False,english,none,normal,False,False,False,,1660321930000
62f680804d8250424f228a33,,49.64,86.21,55.04,50.25,"46,0,0,1",words,10,-1,0,11.12,0,0.0,False,False,english,none,normal,False,False,False,,1660321920000
62f680734d8250424f2289d6,,46.51,89.66,52.71,53.17,"45,1,0,2",words,10,-1,0,11.61,0,0.0,False,False,english,none,normal,False,False,False,,1660321907000
62f680654d8250424f22896f,,62.5,97.78,70.31,65.65,"40,0,0,1",words,10,-1,0,7.68,0,0.0,False,False,english,none,normal,False,False,False,,1660321893000
62f6805c4d8250424f22891e,,68.03,100.0,68.03,58.88,"47,0,0,0",words,10,-1,0,8.29,0,0.0,False,False,english,none,normal,False,False,False,,1660321884000
62f680524d8250424f2288d9,,62.73,94.92,68.54,73.31,"54,2,0,0",words,10,-1,0,10.33,0,0.0,False,False,english,none,normal,False,False,False,,1660321874000
62f680474d8250424f228861,,65.81,96.23,65.81,79.25,"51,0,0,0",words,10,-1,0,9.3,0,0.0,False,False,english,none,normal,False,False,False,,1660321863000
62f6803c4d8250424f22881a,,77.9,100.0,77.9,73.28,"42,0,0,0",words,10,-1,0,6.47,0,0.0,False,False,english,none,normal,False,False,False,,1660321852000
62f680344d8250424f2287df,,73.64,98.18,73.64,75.07,"54,0,0,0",words,10,-1,0,8.8,0,0.0,False,False,english,none,normal,False,False,False,,1660321844000
62f680274d8250424f228775,,75.27,100.0,75.27,58.1,"53,0,0,0",words,10,-1,0,8.45,0,0.0,False,False,english,none,normal,False,False,False,,1660321831000
62f680084d8250424f22867b,,75.62,92.16,83.84,71.79,"46,3,0,0",words,10,-1,0,7.3,0,0.0,False,False,english,none,normal,False,False,False,,1660321800000
62f67fff4d8250424f208a58,,9.12,92.59,9.12,0.0,"50,0,0,0",words,10,-1,0,65.79,56,0.0,False,False,english,none,normal,False,False,False,,1660321791000
62f67fbc4d8250424f1e8aba,,53.26,85.48,62.32,58.41,"47,2,0,0",words,10,-1,0,10.59,0,0.0,False,False,english,none,normal,False,False,False,,1660321724000
62f67fad4d8250424f1e8a4a,,87.03,100.0,87.03,64.76,"52,0,0,0",words,10,-1,0,7.17,0,0.0,False,False,english,none,normal,False,False,False,,1660321709000
62f67fa44d8250424f1e89fa,,31.19,96.23,31.19,2.56,"50,0,0,0",words,10,-1,0,19.24,10,0.0,False,False,english,none,normal,False,False,False,,1660321700000
62f67f8a4d8250424f1e8935,,58.19,89.83,69.83,58.89,"45,2,0,0",words,10,-1,0,9.28,0,0.0,False,False,english,none,normal,False,False,False,,1660321674000
62f67f7f4d8250424f1e88d7,,43.39,81.67,58.2,55.33,"41,3,1,1",words,10,-1,0,11.34,0,0.0,False,False,english,none,normal,False,False,False,,1660321663000
62f67f684d8250424f1e880e,,65.63,98.18,65.63,68.25,"53,0,0,0",words,10,-1,0,9.69,0,0.0,False,False,english,none,normal,False,False,False,,1660321640000
62f67f5d4d8250424f1e87c2,,76.6,100.0,76.6,62.75,"48,0,0,0",words,10,-1,0,7.52,0,0.0,False,False,english,none,normal,False,False,False,,1660321629000
62f67f544d8250424f1e8787,,58.3,90.74,58.3,44.54,"48,0,0,0",words,10,-1,0,9.88,0,0.0,False,False,english,none,normal,False,False,False,,1660321620000
62f67f484d8250424f1e8730,,80.38,98.28,80.38,70.64,"56,0,0,0",words,10,-1,0,8.36,0,0.0,False,False,english,none,normal,False,False,False,,1660321608000
62f67f3e4d8250424f1e86de,,63.08,94.0,73.35,58.36,"43,2,0,0",words,10,-1,0,8.18,0,0.0,False,False,english,none,normal,False,False,False,,1660321598000
62f67f344d8250424f1e8697,,46.55,87.5,61.31,54.6,"41,3,0,0",words,10,-1,0,10.57,0,0.0,False,False,english,none,normal,False,False,False,,1660321588000
62f67f274d8250424f1e8628,,48.47,81.97,59.25,69.47,"45,4,0,1",words,10,-1,0,11.14,0,0.0,False,False,english,none,normal,False,False,False,,1660321575000
62f67ede4d8250424f1e841e,,71.84,96.43,71.84,54.04,"54,0,0,0",words,10,-1,0,9.02,0,0.0,False,False,english,none,normal,False,False,False,,1660321502000
62f67ed34d8250424f1e83c0,,63.4,93.44,69.16,75.25,"55,2,0,0",words,10,-1,0,10.41,0,0.0,False,False,english,none,normal,False,False,False,,1660321491000
62f67c544d8250424f1a7523,,79.79,100.0,79.79,80.82,"50,0,0,0",words,10,-1,0,7.52,0,0.0,False,False,english,none,normal,False,False,False,,1660320852000
62f67b3e4d8250424f1a6b91,,65.38,92.0,71.19,65.95,"45,2,0,0",words,10,-1,0,8.26,0,0.0,False,False,english,none,normal,False,False,False,,1660320574000
62f67b334d8250424f1a6b29,,56.76,92.31,67.57,69.72,"42,2,0,0",words,10,-1,0,8.88,0,0.0,False,False,english,none,normal,False,False,False,,1660320563000
62f67b274d8250424f1a6ab8,,70.59,97.92,70.59,66.67,"46,0,0,0",words,10,-1,0,7.82,0,0.0,False,False,english,none,normal,False,False,False,,1660320551000
62f67b1e4d8250424f1a6a54,,69.45,100.0,69.45,73.55,"54,0,0,0",words,10,-1,0,9.33,0,0.0,False,False,english,none,normal,False,False,False,,1660320542000
62f67b124d8250424f1a69ff,,51.38,93.33,51.38,35.28,"42,0,0,0",words,10,-1,0,9.81,0,0.0,False,False,english,none,normal,False,False,False,,1660320530000
62f67b074d8250424f1a69a5,,71.35,94.0,81.08,77.73,"44,2,0,0",words,10,-1,0,7.4,0,0.0,False,False,english,none,normal,False,False,False,,1660320519000
62f67afd4d8250424f1a695e,,71.95,100.0,71.95,68.87,"56,0,0,0",words,10,-1,0,9.34,0,0.0,False,False,english,none,normal,False,False,False,,1660320509000
62f67aa54d8250424f1a668c,,68.8,100.0,68.8,66.92,"52,0,0,0",words,10,-1,0,9.07,0,0.0,False,False,english,none,normal,False,False,False,,1660320421000
62f67a704d8250424f1a64c7,,44.11,80.65,48.61,43.19,"49,2,1,0",words,10,-1,0,13.33,0,0.0,False,False,english,none,normal,False,False,False,,1660320368000
62f679c54d8250424f1a5ef1,,69.61,97.87,77.9,68.81,"42,0,0,1",words,10,-1,0,7.24,0,0.0,False,False,english,none,normal,False,False,False,,1660320197000
62f576064d8250424fee649e,,82.42,100.0,82.42,62.7,"50,0,0,0",words,10,-1,0,7.28,0,0.0,False,False,english,none,normal,False,False,False,,1660253702000
62f575fd4d8250424fee6475,,68.18,94.74,68.18,69.31,"50,0,0,0",words,10,-1,0,8.8,0,0.0,False,False,english,none,normal,False,False,False,,1660253693000
62f575f34d8250424fee643f,,52.66,89.47,60.5,59.03,"47,2,0,0",words,10,-1,0,10.71,0,0.0,False,False,english,none,normal,False,False,False,,1660253683000
62f575e64d8250424fee63fa,,74.19,98.0,80.65,72.58,"46,0,0,1",words,10,-1,0,7.44,0,0.0,False,False,english,none,normal,False,False,False,,1660253670000
62f52bdb4d8250424f993611,,56.85,91.8,56.85,62.81,"55,0,0,0",words,10,-1,0,11.61,0,0.0,False,False,english,none,normal,False,False,False,,1660234715000
62f52bce4d8250424f9935b2,,66.3,98.36,66.3,70.86,"60,0,0,0",words,10,-1,0,10.86,0,0.0,False,False,english,none,normal,False,False,False,,1660234702000
62f52bc24d8250424f993552,,55.47,89.8,63.59,69.87,"41,2,0,0",words,10,-1,0,8.87,0,0.0,False,False,english,none,normal,False,False,False,,1660234690000
62f52bb74d8250424f9934fe,,50.82,91.67,60.16,68.38,"49,1,1,0",words,10,-1,0,11.57,0,0.0,False,False,english,none,normal,False,False,False,,1660234679000
62f52baa4d8250424f9934a2,,45.62,88.24,63.36,63.38,"36,3,0,0",words,10,-1,0,9.47,0,0.0,False,False,english,none,normal,False,False,False,,1660234666000
62f52b9e4d8250424f99344d,,64.0,100.0,64.0,66.0,"48,0,0,0",words,10,-1,0,9.0,1,0.0,False,False,english,none,normal,False,False,False,,1660234654000
62f52b944d8250424f993402,,58.5,87.76,73.5,76.28,"39,3,1,1",words,10,-1,0,8.0,1,0.0,False,False,english,none,normal,False,False,False,,1660234644000
62f52b8a4d8250424f9933c9,,57.89,96.15,62.71,74.49,"48,1,0,0",words,10,-1,0,9.95,0,0.0,False,False,english,none,normal,False,False,False,,1660234634000
62f52b7e4d8250424f993372,,64.33,96.49,64.33,70.54,"55,0,0,0",words,10,-1,0,10.26,0,0.0,False,False,english,none,normal,False,False,False,,1660234622000
62f52b724d8250424f993307,,63.73,95.92,63.73,78.6,"47,0,0,0",words,10,-1,0,8.85,0,0.0,False,False,english,none,normal,False,False,False,,1660234610000
62f52b674d8250424f9932b8,,72.81,98.25,72.81,57.03,"56,0,0,0",words,10,-1,0,9.23,0,0.0,False,False,english,none,normal,False,False,False,,1660234599000
62f52b5d4d8250424f993269,,62.57,100.0,62.57,82.32,"56,0,0,0",words,10,-1,0,10.74,0,0.0,False,False,english,none,normal,False,False,False,,1660234589000
62f52b4b4d8250424f9931d9,,44.51,87.1,44.51,45.13,"54,0,0,0",words,10,-1,0,14.56,0,0.0,False,False,english,none,normal,False,False,False,,1660234571000
62f52b3b4d8250424f993160,,56.31,93.88,65.7,65.25,"42,2,0,1",words,10,-1,0,8.95,0,0.0,False,False,english,none,normal,False,False,False,,1660234555000
62f52b2d4d8250424f9930f8,,65.67,94.92,75.97,70.21,"51,2,0,0",words,10,-1,0,9.32,0,0.0,False,False,english,none,normal,False,False,False,,1660234541000
62f52b224d8250424f9930a5,,71.4,100.0,71.4,77.25,"52,0,0,0",words,10,-1,0,8.74,0,0.0,False,False,english,none,normal,False,False,False,,1660234530000
62f52b0b4d8250424f992fe9,,66.58,95.92,74.15,87.26,"44,1,0,0",words,10,-1,0,7.93,0,0.0,False,False,english,none,normal,False,False,False,,1660234507000
62f52a974d8250424f95351a,,64.48,96.72,64.48,85.9,"59,0,0,0",words,10,-1,0,10.98,0,0.0,False,False,english,none,normal,False,False,False,,1660234391000
62f52a834d8250424f953491,,62.99,93.33,70.87,80.25,"40,2,0,1",words,10,-1,0,7.62,0,0.0,False,False,english,none,normal,False,False,False,,1660234371000
62f52a534d8250424f95332e,,66.43,95.92,66.43,73.87,"47,0,0,0",words,10,-1,0,8.49,0,0.0,False,False,english,none,normal,False,False,False,,1660234323000
62f52a494d8250424f9532e7,,48.53,83.87,53.58,61.44,"48,0,1,0",words,10,-1,0,11.87,0,0.0,False,False,english,none,normal,False,False,False,,1660234313000
62f52a3b4d8250424f953283,,77.42,98.11,77.42,63.82,"52,0,0,0",words,10,-1,0,8.06,0,0.0,False,False,english,none,normal,False,False,False,,1660234299000
62f52a304d8250424f953248,,63.16,90.38,84.21,81.16,"39,3,0,1",words,10,-1,0,7.41,0,0.0,False,False,english,none,normal,False,False,False,,1660234288000
62f52a264d8250424f9531fd,,89.44,100.0,89.44,77.37,"48,0,0,0",words,10,-1,0,6.44,0,0.0,False,False,english,none,normal,False,False,False,,1660234278000
62f52a1f4d8250424f9531c5,,57.95,91.04,66.37,72.2,"55,1,0,0",words,10,-1,0,11.39,0,0.0,False,False,english,none,normal,False,False,False,,1660234271000
62f529cb4d8250424f952f72,,58.78,96.36,58.78,69.26,"53,0,0,0",words,10,-1,0,10.82,0,0.0,False,False,english,none,normal,False,False,False,,1660234187000
62f529a24d8250424f952e34,,51.34,96.61,51.34,65.07,"56,0,0,0",words,10,-1,0,13.09,0,0.0,False,False,english,none,normal,False,False,False,,1660234146000
62f5294d4d8250424f952b9a,,58.41,94.0,66.37,66.54,"44,2,0,0",words,10,-1,0,9.04,0,0.0,False,False,english,none,normal,False,False,False,,1660234061000
62f529344d8250424f952ac5,,59.8,94.44,70.21,74.88,"46,2,0,0",words,10,-1,0,9.23,0,0.0,False,False,english,none,normal,False,False,False,,1660234036000
62f528f24d8250424f95288b,,71.39,97.92,71.39,76.43,"47,0,0,0",words,10,-1,0,7.9,0,0.0,False,False,english,none,normal,False,False,False,,1660233970000
62f528b44d8250424f95267c,,75.82,100.0,75.82,70.2,"46,0,0,0",words,10,-1,0,7.28,0,0.0,False,False,english,none,normal,False,False,False,,1660233908000
62f528a04d8250424f9525de,,69.39,100.0,69.39,67.79,"51,0,0,0",words,10,-1,0,8.82,0,0.0,False,False,english,none,normal,False,False,False,,1660233888000
62f528894d8250424f95252a,,68.14,98.18,68.14,69.31,"54,0,0,0",words,10,-1,0,9.51,0,0.0,False,False,english,none,normal,False,False,False,,1660233865000
62f5287c4d8250424f9524c0,,66.33,90.57,78.39,80.12,"44,2,1,0",words,10,-1,0,7.96,0,0.0,False,False,english,none,normal,False,False,False,,1660233852000
62f5286e4d8250424f95243c,,85.99,100.0,85.99,67.39,"44,0,0,0",words,10,-1,0,6.14,0,0.0,False,False,english,none,normal,False,False,False,,1660233838000
62f528664d8250424f9523f6,,70.13,96.43,70.13,60.73,"54,0,0,0",words,10,-1,0,9.24,0,0.0,False,False,english,none,normal,False,False,False,,1660233830000
62f528564d8250424f95236d,,49.91,83.33,58.41,60.86,"47,4,1,0",words,10,-1,0,11.3,0,0.0,False,False,english,none,normal,False,False,False,,1660233814000
62f2ce264d8250424fdd6f74,,78.4,96.08,78.4,57.84,"49,0,0,0",words,10,-1,0,7.5,0,0.0,False,False,english,none,normal,False,False,False,,1660079654000
62f2ce1d4d8250424fdd6f51,,67.49,94.55,74.24,63.47,"50,2,0,1",words,10,-1,0,8.89,0,0.0,False,False,english,none,normal,False,False,False,,1660079645000
62f2ce124d8250424fdd6f1e,,51.09,80.33,56.76,62.06,"45,1,0,0",words,10,-1,0,10.57,0,0.0,False,False,english,none,normal,False,False,False,,1660079634000
62f2ce064d8250424fdd6eeb,,50.88,86.21,65.77,65.7,"41,2,0,1",words,10,-1,0,9.67,0,0.0,False,False,english,none,normal,False,False,False,,1660079622000
62f2cdfa4d8250424fdd6eb8,,62.34,87.76,84.85,77.09,"36,3,1,1",words,10,-1,0,6.93,0,0.0,False,False,english,none,normal,False,False,False,,1660079610000
62f285c14d8250424f8c8ae0,,68.34,94.74,77.9,78.95,"50,2,0,0",words,10,-1,0,8.78,0,0.0,False,False,english,none,normal,False,False,False,,1660061121000
62f2853f4d8250424f8c86bb,,50.81,89.09,55.14,71.2,"47,1,0,0",words,10,-1,0,11.1,0,0.0,False,False,english,none,normal,False,False,False,,1660060991000
